subdir,model,task,sample_id,total_time_s,working_time_s
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,17-3,58.729,58.716
gptoss_harmful,ollama/gpt-oss:120b,inspect_evals/agentharm,29-3,58.681,58.663
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,38-1,58.626,58.615
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,61-1,58.557,58.524
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,62-4,58.301,58.293
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,37-1,57.891,57.857
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,40-1,57.82,57.801
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,17-3,57.804,57.791
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,63-1,57.752,57.743
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,40-2,57.742,57.724
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,24-2,57.684,57.648
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,62-3,57.641,57.631
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,2-3,57.638,57.62
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,37-3,57.486,57.478
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,33-4,57.446,57.42
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,36-1,57.267,57.237
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,61-4,57.216,57.21
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,26-2,57.039,57.013
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,26-1,56.841,56.815
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,42-2,56.675,56.665
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,27-4,56.527,56.493
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,36-2,56.308,56.3
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,63-1,56.288,56.264
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,50-2,56.267,56.246
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,13-2,56.256,56.248
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,19-1,56.25,56.216
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,17-4,56.167,56.14
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,10-2,56.157,56.147
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,10-3,55.86,55.848
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,35-2,55.85,55.824
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,44-3,55.803,55.788
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,52-1,55.798,55.767
qwen14_benign,ollama/qwen3:14b,inspect_evals/agentharm_benign,27-2,55.793,55.785
qwen14_harmful,ollama/qwen3:14b,inspect_evals/agentharm,49-1,55.761,55.753
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,49-4,55.753,55.722
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,17-3,55.662,55.635
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,52-2,55.244,55.212
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,45-4,55.234,55.207
gptoss_harmful,ollama/gpt-oss:120b,inspect_evals/agentharm,26-1,55.099,55.082
gptoss_harmful,ollama/gpt-oss:120b,inspect_evals/agentharm,7-1,55.026,54.989
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,36-3,55.018,55.002
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,24-2,54.976,54.971
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,42-4,54.807,54.78
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,21-2,54.55,54.518
coder_benign,ollama/qwen3-coder:30b,inspect_evals/agentharm_benign,53-2,54.527,54.498
gptoss_benign,ollama/gpt-oss:120b,inspect_evals/agentharm_benign,52-3,54.462,54.431
